user_id,gender,occupation,zip_code,age,total_rated,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,CKE,KGAT,KGCN,KGIN,NCFKG,files_present_in
0,0,19,622,24,272,75,42,12,25,91,25,5,107,2,1,13,13,5,44,43,52,25,6,1,1,1,1,1,5
1,1,13,689,53,62,10,3,1,4,16,9,0,35,1,2,2,1,4,16,4,12,3,0,1,1,1,1,0,4
2,0,20,270,23,54,14,4,0,0,12,10,1,22,0,2,5,2,11,5,8,21,5,0,0,1,1,0,1,3
3,0,19,331,24,24,8,4,0,0,4,4,1,6,0,0,1,1,5,3,6,11,2,0,1,1,1,1,1,5
5,0,6,758,42,211,25,22,10,20,66,14,1,104,3,6,4,13,12,41,13,24,21,5,1,0,0,0,0,1
8,0,18,1,29,22,4,3,0,0,6,0,0,11,0,1,1,0,1,8,4,5,5,0,1,0,1,1,1,4
9,0,9,642,53,184,25,14,7,8,47,16,3,81,1,9,6,14,15,36,12,34,20,5,1,1,1,1,1,5
10,1,13,262,39,181,33,16,0,6,74,14,0,82,2,1,5,1,12,42,23,33,18,5,0,1,1,0,1,3
13,0,17,416,45,98,18,14,6,6,35,6,2,39,1,3,1,5,6,21,13,13,10,1,1,1,1,1,1,5
15,0,5,97,21,140,30,12,8,11,39,19,0,56,1,6,9,10,8,27,16,34,13,3,1,1,1,0,0,3
20,0,20,258,26,179,39,16,9,12,32,15,1,47,2,2,61,7,9,15,23,66,6,0,1,0,1,1,1,4
21,0,20,311,25,128,66,35,0,8,72,8,0,16,1,1,5,4,3,19,25,23,15,4,1,1,1,0,0,3
22,1,1,364,30,151,39,28,11,15,50,7,1,54,2,2,5,16,5,34,30,21,13,4,0,0,0,1,0,1
24,0,4,417,39,78,20,15,9,11,26,2,0,25,1,1,2,6,2,12,17,15,9,1,1,1,1,1,1,5
30,0,1,88,24,36,5,3,0,0,5,4,3,13,0,4,1,2,9,10,3,9,2,0,0,1,1,1,1,4
31,1,18,575,28,41,15,10,2,2,15,4,0,14,0,0,2,0,2,8,9,11,5,0,1,1,1,1,1,5
39,0,17,230,38,35,8,2,0,2,11,3,0,18,0,1,1,0,3,3,5,11,4,0,0,1,1,1,0,3
40,0,4,591,33,52,12,5,2,3,19,4,0,24,1,0,0,2,2,13,9,10,11,2,1,1,1,0,1,4
41,0,0,151,30,183,43,31,13,21,59,6,1,66,5,0,8,13,5,43,25,36,10,3,1,1,1,1,1,5
48,1,18,545,23,215,37,20,21,29,88,25,2,71,5,3,18,17,8,35,28,41,7,0,1,1,1,1,0,4
53,0,6,512,22,65,29,15,3,3,11,9,1,21,2,2,3,0,8,10,11,30,5,0,0,1,1,1,1,4
54,0,14,4,37,21,17,9,0,0,1,3,0,4,0,1,0,0,1,3,6,10,4,0,1,0,1,1,1,4
57,0,14,389,27,154,25,16,6,6,59,14,5,67,1,3,3,3,7,37,18,30,13,1,1,1,1,1,1,5
63,0,3,325,32,200,60,37,9,19,56,16,5,78,4,1,12,13,6,36,33,39,26,4,1,1,1,0,1,4
71,1,0,527,48,137,46,24,1,2,20,16,2,67,1,6,2,1,12,20,21,40,18,5,0,0,1,1,0,2
74,0,5,84,24,79,18,10,6,7,35,5,0,20,3,0,2,2,3,12,7,19,5,0,1,1,1,0,1,4
75,0,18,31,20,82,11,6,0,0,12,14,1,46,0,1,4,1,9,18,18,19,6,1,0,0,1,1,1,3
78,1,0,42,39,55,6,3,1,1,14,2,2,38,0,0,1,1,3,14,5,7,5,0,1,1,1,1,1,5
88,1,0,514,43,76,11,8,2,2,37,3,1,39,0,0,0,1,1,37,7,3,4,0,1,1,1,1,1,5
90,0,11,13,55,98,33,18,3,6,11,7,0,46,1,2,6,6,9,15,16,24,19,3,1,1,1,1,1,5
91,0,5,591,32,388,103,55,15,24,130,33,4,133,6,4,28,18,15,69,56,101,27,5,0,1,1,0,1,3
96,0,1,753,43,63,16,14,5,4,20,3,2,22,1,2,3,3,4,8,18,13,6,3,1,1,1,0,0,3
99,0,6,638,36,59,13,3,0,1,12,4,0,31,1,2,3,1,4,9,5,19,5,0,1,1,1,1,1,5
107,0,3,500,44,33,11,7,1,2,9,2,0,14,0,0,0,2,2,11,7,6,6,0,1,1,0,0,1,3
108,0,13,443,29,234,87,47,7,15,72,22,0,72,6,2,16,10,7,36,41,64,17,2,1,1,1,0,1,4
112,0,6,713,47,51,11,3,0,0,9,6,0,28,0,1,2,2,6,9,6,17,4,0,1,1,0,0,1,3
113,0,14,536,27,48,9,5,0,0,11,6,0,22,0,2,2,2,6,5,12,13,8,1,0,0,1,1,1,3
114,0,4,146,31,92,25,11,3,3,12,11,4,41,1,6,4,2,4,12,12,27,9,3,1,1,0,0,0,2
117,0,0,636,21,71,13,10,0,1,10,9,2,28,1,1,20,2,5,5,12,21,9,0,1,1,1,1,1,5
118,0,14,513,32,181,60,32,1,4,43,15,1,82,2,3,3,5,5,31,25,50,15,1,1,1,1,1,1,5
120,0,10,774,54,74,19,9,1,1,13,7,1,43,2,0,0,0,5,17,10,17,10,0,1,1,0,1,1,4
121,1,20,204,32,61,5,3,0,1,10,5,0,47,1,1,0,1,3,10,5,5,5,4,0,0,0,0,1,1
129,0,12,463,20,353,120,57,19,35,92,30,1,102,5,3,35,17,12,47,55,102,17,3,1,1,1,1,1,5
140,0,14,295,49,107,31,14,1,6,37,8,1,36,1,1,1,0,5,20,13,34,8,0,1,1,1,1,1,5
143,0,14,189,53,206,48,18,2,7,52,21,5,116,3,4,5,5,14,41,23,44,22,3,0,0,1,0,1,2
144,0,5,792,31,316,81,44,4,13,93,29,0,102,7,7,33,4,19,60,49,99,19,5,1,1,1,1,1,5
145,0,1,602,45,29,5,3,0,1,8,5,2,13,1,1,1,1,5,5,3,9,3,0,1,1,1,1,1,5
158,1,18,432,23,107,30,11,2,7,43,9,0,30,3,1,1,7,6,28,11,27,6,0,0,1,1,1,1,4
159,0,14,510,27,120,24,13,6,5,33,17,2,51,1,4,8,3,8,16,11,26,7,2,1,1,1,1,1,5
160,0,9,414,50,58,13,7,1,4,18,6,1,31,0,1,0,3,3,17,5,7,8,2,0,0,0,1,1,2
