user_id,gender,occupation,zip_code,age,total_rated,Action,Adventure,Animation,Children's,Comedy,Crime,Documentary,Drama,Fantasy,Film-Noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,exists_in_merged_user_data,files_present_in
0,0,19,622,24,272,75,42,12,25,91,25,5,107,2,1,13,13,5,44,43,52,25,6,True,5.0
1,1,13,689,53,62,10,3,1,4,16,9,0,35,1,2,2,1,4,16,4,12,3,0,True,4.0
2,0,20,270,23,54,14,4,0,0,12,10,1,22,0,2,5,2,11,5,8,21,5,0,True,3.0
3,0,19,331,24,24,8,4,0,0,4,4,1,6,0,0,1,1,5,3,6,11,2,0,True,5.0
4,1,13,133,33,175,56,33,14,29,82,9,0,27,2,1,28,12,3,19,33,19,14,2,False,0.0
5,0,6,758,42,211,25,22,10,20,66,14,1,104,3,6,4,13,12,41,13,24,21,5,True,1.0
6,0,0,651,57,403,95,58,13,36,88,32,5,146,7,11,47,26,21,56,48,77,41,18,False,0.0
8,0,18,1,29,22,4,3,0,0,6,0,0,11,0,1,1,0,1,8,4,5,5,0,True,4.0
9,0,9,642,53,184,25,14,7,8,47,16,3,81,1,9,6,14,15,36,12,34,20,5,True,5.0
10,1,13,262,39,181,33,16,0,6,74,14,0,82,2,1,5,1,12,42,23,33,18,5,True,3.0
12,0,3,243,47,636,156,73,16,52,188,45,13,218,12,14,75,31,33,105,65,121,41,13,False,0.0
13,0,17,416,45,98,18,14,6,6,35,6,2,39,1,3,1,5,6,21,13,13,10,1,True,5.0
14,1,3,745,49,104,22,12,2,7,28,6,0,48,3,2,2,2,7,25,12,25,10,0,False,0.0
15,0,5,97,21,140,30,12,8,11,39,19,0,56,1,6,9,10,8,27,16,34,13,3,True,3.0
17,1,13,297,35,277,25,18,12,19,102,12,4,141,4,4,5,24,9,68,15,23,27,4,False,0.0
19,1,8,727,42,48,19,13,4,8,14,2,0,13,2,0,2,4,1,8,10,13,8,0,False,0.0
20,0,20,258,26,179,39,16,9,12,32,15,1,47,2,2,61,7,9,15,23,66,6,0,True,4.0
21,0,20,311,25,128,66,35,0,8,72,8,0,16,1,1,5,4,3,19,25,23,15,4,True,3.0
22,1,1,364,30,151,39,28,11,15,50,7,1,54,2,2,5,16,5,34,30,21,13,4,True,1.0
24,0,4,417,39,78,20,15,9,11,26,2,0,25,1,1,2,6,2,12,17,15,9,1,True,5.0
25,0,4,192,49,107,35,17,2,4,33,9,0,41,0,1,3,0,6,20,16,29,8,1,False,0.0
27,0,20,433,32,79,26,16,2,3,11,6,0,18,1,1,22,4,3,7,27,31,5,1,False,0.0
28,0,14,689,41,34,10,1,1,2,7,5,0,15,0,2,1,0,2,4,4,17,5,1,False,0.0
30,0,1,88,24,36,5,3,0,0,5,4,3,13,0,4,1,2,9,10,3,9,2,0,True,4.0
31,1,18,575,28,41,15,10,2,2,15,4,0,14,0,0,2,0,2,8,9,11,5,0,True,5.0
36,0,18,415,23,57,50,20,0,0,3,9,0,7,1,1,3,0,1,9,17,27,5,0,False,0.0
37,1,13,408,28,121,32,23,10,30,43,2,0,24,3,1,18,12,3,18,15,24,7,1,False,0.0
39,0,17,230,38,35,8,2,0,2,11,3,0,18,0,1,1,0,3,3,5,11,4,0,True,3.0
40,0,4,591,33,52,12,5,2,3,19,4,0,24,1,0,0,2,2,13,9,10,11,2,True,4.0
41,0,0,151,30,183,43,31,13,21,59,6,1,66,5,0,8,13,5,43,25,36,10,3,True,5.0
42,1,10,186,29,221,51,28,20,27,87,17,1,81,6,1,7,16,8,60,20,40,18,4,False,0.0
43,0,19,352,26,151,44,34,11,16,44,10,1,51,2,1,11,14,8,25,37,34,18,2,False,0.0
48,1,18,545,23,215,37,20,21,29,88,25,2,71,5,3,18,17,8,35,28,41,7,0,True,4.0
50,0,3,142,28,23,9,10,0,1,5,1,0,9,0,0,1,3,2,8,4,3,3,1,False,0.0
53,0,6,512,22,65,29,15,3,3,11,9,1,21,2,2,3,0,8,10,11,30,5,0,True,4.0
54,0,14,4,37,21,17,9,0,0,1,3,0,4,0,1,0,0,1,3,6,10,4,0,True,4.0
56,0,12,603,16,106,31,18,5,12,46,8,0,22,3,0,2,3,2,13,19,27,9,0,False,0.0
57,0,14,389,27,154,25,16,6,6,59,14,5,67,1,3,3,3,7,37,18,30,13,1,True,5.0
58,0,3,81,49,382,73,44,17,31,107,23,4,162,5,12,25,21,16,75,39,71,33,11,False,0.0
59,0,7,60,50,208,42,29,6,19,51,8,0,85,5,7,12,18,15,36,30,38,24,5,False,0.0
61,1,0,741,27,232,64,42,5,14,60,13,2,108,4,3,10,11,7,54,35,48,26,2,False,0.0
62,0,11,542,31,93,15,8,5,8,31,4,1,42,0,1,1,4,5,19,8,21,5,0,False,0.0
63,0,3,325,32,200,60,37,9,19,56,16,5,78,4,1,12,13,6,36,33,39,26,4,True,4.0
64,1,3,363,51,80,11,7,1,3,29,5,2,46,1,0,1,0,5,23,9,9,8,4,False,0.0
68,0,4,429,24,65,20,8,1,1,12,11,2,28,0,1,4,1,5,11,10,24,6,0,False,0.0
