user_id,gender,occupation,zip_code,age
195,0,20,415,49
304,0,14,690,23
5,0,6,758,42
233,0,15,707,60
62,0,11,542,31
180,0,6,197,26
200,0,20,778,27
248,0,18,604,25
12,0,3,243,47
278,0,14,617,33
144,0,5,792,31
89,0,3,564,60
270,0,4,212,51
17,1,13,297,35
0,0,19,622,24
206,0,11,659,39
13,0,17,416,45
112,0,6,713,47
122,1,1,171,48
295,1,0,144,43
153,0,18,400,25
269,1,18,498,18
239,1,3,183,23
143,0,14,189,53
20,0,20,258,26
238,0,1,726,39
110,0,4,641,57
128,1,11,71,36
130,1,0,138,59
225,0,18,662,28
305,0,13,529,45
172,0,13,206,56
1,1,13,689,53
204,0,9,57,47
194,0,17,684,42
198,0,20,150,30
201,1,3,467,41
205,1,18,392,14
34,1,8,320,20
33,1,0,319,38
203,1,10,101,52
29,0,18,445,7
208,1,3,621,33
8,0,18,1,29
11,1,13,58,28
39,0,17,230,38
330,0,5,651,33
85,0,0,350,26
138,0,18,86,20
308,0,17,522,40
353,1,10,364,29
359,0,13,754,51
354,0,18,464,25
415,1,18,670,20
407,0,18,488,23
416,1,13,361,27
427,0,18,439,28
439,0,13,360,30
438,1,0,184,23
450,0,18,366,16
459,1,13,479,44
460,0,18,759,15
462,1,7,540,48
472,0,18,709,29
485,0,3,679,39
491,0,3,705,57
496,0,18,377,20
499,0,0,695,28
522,1,0,44,50
519,0,7,119,62
531,0,18,675,20
484,1,3,729,44
532,0,10,33,43
536,0,4,207,36
538,1,0,589,53
565,0,18,128,20
573,0,3,395,56
567,0,3,14,39
591,0,18,752,18
593,0,3,783,46
596,0,13,607,23
616,1,20,103,27
623,0,18,257,19
627,0,12,696,13
638,1,10,114,42
650,0,15,36,65
654,1,7,481,50
640,0,18,478,24
672,0,3,210,51
696,0,13,552,25
679,0,9,640,33
706,1,10,160,56
694,0,20,305,26
674,0,13,240,34
720,1,5,107,24
723,0,6,312,31
719,1,0,141,49
742,0,14,673,31
732,1,13,479,44
739,1,3,204,25
734,1,7,623,29
757,0,18,402,27
752,0,16,649,56
766,0,4,0,70
770,0,18,136,26
764,0,18,279,31
793,0,3,451,32
802,0,0,567,70
844,0,2,750,64
862,0,18,461,17
860,1,18,123,38
870,0,6,342,31
865,0,13,469,45
868,0,18,96,30
893,0,3,532,47
897,0,8,488,23
936,0,3,757,48
21,0,20,311,25
243,0,19,591,28
297,0,6,6,44
285,0,18,134,27
199,0,14,682,40
209,0,4,39,39
